Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_idd,shell_density_numsel_Currentcluster
4874,5.0,102170000.0,1.3624,290.0,9.0,0.0,9.0,211.44,146.32637871152798,0.0,84.2656910722017,0.0,SP1,4,146.32637871152798,14.0,84.2656910722017
4875,5.0,124800000.0,1.4563,310.0,10.0,0.0,10.0,226.59,133.10333077774936,0.0,73.40386955838764,0.0,SP1,4,133.10333077774936,15.0,73.40386955838764
4876,5.0,150550000.0,1.5503,330.0,10.0,0.0,10.0,241.74,110.33740073771584,0.0,0.0,0.0,SP1,4,110.33740073771584,16.0,0.0
4877,5.0,179610000.0,1.6442,350.0,10.0,0.0,10.0,256.9,92.48536095464131,0.0,0.0,0.0,SP1,4,92.48536095464131,17.0,0.0
4878,5.0,212190000.0,1.7382,370.0,10.0,0.0,10.0,272.05,78.28500721552912,0.0,0.0,0.0,SP1,4,78.28500721552912,18.0,0.0
4879,5.0,248490000.0,1.8321,390.0,10.0,0.0,10.0,287.2,66.84895038457532,0.0,0.0,0.0,SP1,4,66.84895038457532,19.0,0.0
4880,5.0,288710000.0,1.9261,410.0,11.0,0.0,11.0,302.35,63.289893835230636,0.0,41.30108324481135,0.0,SP1,4,63.289893835230636,20.0,41.30108324481135
4881,5.0,333060000.0,2.0201,430.0,11.0,0.0,11.0,317.51,54.86226280300677,0.0,0.0,0.0,SP1,4,54.86226280300677,21.0,0.0
4882,5.0,381730000.0,2.114,450.0,11.0,0.0,11.0,332.66,47.867406934664395,0.0,0.0,0.0,SP1,4,47.867406934664395,22.0,0.0
4883,5.0,434920000.0,2.208,470.0,11.0,0.0,11.0,347.82,42.013301869698864,0.0,0.0,0.0,SP1,4,42.013301869698864,23.0,0.0
4884,6.0,4201.3,0.050849,10.0,0.0,0.0,0.0,0.008318700000000002,0.0,0.0,0.0,0.0,SP1,4,0.0,0.0,0.0
4885,6.0,113210.0,0.15245,30.0,0.0,0.0,0.0,16.473,0.0,0.0,0.0,0.0,SP1,4,0.0,1.0,0.0
4886,6.0,523910.0,0.25404,50.0,0.0,0.0,0.0,33.089,0.0,0.0,0.0,0.0,SP1,4,0.0,2.0,0.0
4887,6.0,1437400.0,0.35564,70.0,0.0,0.0,0.0,49.76,0.0,0.0,0.0,0.0,SP1,4,0.0,3.0,0.0
4888,6.0,3054600.0,0.45724,90.0,0.0,0.0,0.0,66.41199999999999,0.0,0.0,0.0,0.0,SP1,4,0.0,4.0,0.0
4889,6.0,5576800.0,0.55883,110.0,0.0,0.0,0.0,83.046,0.0,0.0,0.0,0.0,SP1,4,0.0,5.0,0.0
4890,6.0,9204800.0,0.6604300000000001,130.0,1.0,0.0,1.0,99.698,180.4634069296793,0.0,457.8637177801302,0.0,SP1,4,180.4634069296793,6.0,457.8637177801302
4891,6.0,14140000.0,0.76203,150.0,2.0,0.0,2.0,116.36,234.95467724275986,0.0,336.58809533682773,0.0,SP1,4,234.95467724275986,7.0,336.58809533682773
4892,6.0,20583000.0,0.86362,170.0,2.0,0.0,2.0,133.02,161.40791605755354,0.0,0.0,0.0,SP1,4,161.40791605755354,8.0,0.0
4893,6.0,28735000.0,0.96522,190.0,4.0,0.0,4.0,149.69,231.23432303550544,0.0,407.5391482105771,0.0,SP1,4,231.23432303550544,9.0,407.5391482105771
4894,6.0,38798000.0,1.0668,210.0,4.0,0.0,4.0,166.37,171.25929873769908,0.0,0.0,0.0,SP1,4,171.25929873769908,10.0,0.0
4895,6.0,50971000.0,1.1684,230.0,5.0,0.0,5.0,183.04,162.94849699891236,0.0,136.46016332098188,0.0,SP1,4,162.94849699891236,11.0,136.46016332098188
4896,6.0,65457000.0,1.27,250.0,6.0,0.0,6.0,199.72,152.26450049097687,0.0,114.67137706104602,0.0,SP1,4,152.26450049097687,12.0,114.67137706104602
4897,6.0,82457000.0,1.3716,270.0,7.0,0.0,7.0,216.4,141.01782719167792,0.0,97.71350400625369,0.0,SP1,4,141.01782719167792,13.0,97.71350400625369
4898,6.0,102170000.0,1.4732,290.0,7.0,0.0,7.0,233.07,113.80940566452178,0.0,0.0,0.0,SP1,4,113.80940566452178,14.0,0.0
4899,6.0,124800000.0,1.5748,310.0,7.0,0.0,7.0,249.74,93.17233154442457,0.0,0.0,0.0,SP1,4,93.17233154442457,15.0,0.0
4900,6.0,150540000.0,1.6764,330.0,7.0,0.0,7.0,266.42,77.24131112491156,0.0,0.0,0.0,SP1,4,77.24131112491156,16.0,0.0
4901,6.0,179610000.0,1.778,350.0,8.0,0.0,8.0,283.09,73.98828876371303,0.0,57.14240000365711,0.0,SP1,4,73.98828876371303,17.0,57.14240000365711
