tomo_set,sub_group_type,idd,clustersubgroup,PC1-axis,PC2-axis,PC3-axis,eccentricity,numPar
SP2_2,SP2,2,2,1203.9730131224585,789.0421760209977,486.20760399791686,0.5961640346597505,48
SP2_2,SP2,2,3,541.800520737046,310.9818153254439,261.2387317162374,0.5178322616581144,12
SP2_2,SP2,2,4,874.9290380411751,609.97841135331,556.4064384599315,0.36405535275679535,49
SP2_2,SP2,2,5,3793.760786324883,1294.58385940709,689.203786822005,0.8183323025251534,202
SP2_2,SP2,2,6,915.9581489349298,476.45448352089403,406.187955367808,0.5565431064289119,38
SP2_2,SP2,2,7,2056.987999486226,1190.2312232458519,396.3340746253423,0.8073230982755686,95
SP2_2,SP2,2,8,1548.0879663486949,744.2234446130542,643.4791817531136,0.5843393943105073,96
SP2_2,SP2,2,9,1685.1078155548116,739.6112459521855,506.04537137160617,0.6996955525928803,98
SP2_2,SP2,2,10,793.419714951442,554.1657500010137,476.18564987911066,0.3998313365477014,45
SP2_2,SP2,2,11,932.8553667201935,674.4669861114737,449.1358262538364,0.5185364824206955,39
SP2_2,SP2,2,12,457.02634815061754,455.4645352549909,350.18121427413,0.23378331316967238,14
SP2_2,SP2,2,13,878.7553229284742,589.5166557666307,269.00017866787834,0.6938850079776149,29
SP2_2,SP2,2,14,1158.584461173473,672.3689196503368,417.0648968221646,0.6400220175577531,47
SP2_2,SP2,2,15,886.9740029497236,666.9814358114563,401.25095019081,0.5476181389122923,41
SP2_2,SP2,2,16,808.1355988537671,562.9571525869769,324.61273447775227,0.5983189764958106,33
SP2_2,SP2,2,17,748.904594837963,524.2765200390605,434.31873747067743,0.4200613262832912,35
SP2_2,SP2,2,18,1007.3273982805396,690.7122405116439,430.37365232595295,0.5727569278264639,53
SP2_2,SP2,2,19,406.60725401793,249.82429894913457,184.22812748252204,0.5469138200018483,10
SP2_2,SP2,2,20,445.65616754494874,360.13189288567406,134.6980979922859,0.697753317912513,10
