tomo_set,sub_group_type,idd,clustersubgroup,PC1-axis,PC2-axis,PC3-axis,eccentricity,numPar,Avg Size (nm)
SP2_2,SP1,2,13,878.7553229284742,589.5166557666308,269.0001786678784,0.6938850079776149,29,57.38777507981763
SP2_2,SP1,2,14,1158.584461173473,672.3689196503368,417.0648968221646,0.6400220175577531,47,78.78246789978189
SP2_2,SP1,2,15,886.9740029497236,666.9814358114562,401.25095019081,0.5476181389122923,41,64.41124765702668
SP2_2,SP1,2,16,808.1355988537671,562.9571525869768,324.61273447775227,0.5983189764958106,33,56.63741666657597
SP2_2,SP1,2,17,748.9045948379629,524.2765200390605,434.31873747067743,0.4200613262832912,35,59.16116661543201
SP2_2,SP1,2,18,1007.3273982805396,690.7122405116438,430.3736523259529,0.5727569278264639,53,71.88505253032463
SP2_2,SP1,2,19,406.60725401793,249.82429894913457,184.22812748252204,0.5469138200018483,10,29.541769075022604
SP2_2,SP1,2,20,445.6561675449488,360.13189288567406,134.6980979922859,0.6977533179125128,10,29.017713276861734
SP2_3,SP1,3,0,492.94243279913286,432.9725453006981,271.043020400606,0.45015279195684055,17,38.199272659986946
SP2_3,SP1,3,1,1658.0390101826338,735.3888973998213,656.8412673772613,0.6038445034505492,81,115.74401387799476
SP2_3,SP1,3,2,1859.740934770171,1145.2584413520144,511.0949878767346,0.7251794707955405,98,118.54179613234528
SP2_3,SP1,3,3,449.55516815066085,331.19319823762333,226.88897342718369,0.4953033809831642,15,33.82220707889223
SP2_3,SP1,3,4,946.2169198371516,758.3440587077139,539.601078272733,0.4297279334577944,46,74.29089990549423
SP2_3,SP1,3,5,1093.9626344008984,717.7596274834684,542.6026231786658,0.5040025992516475,51,81.82826287897822
SP2_3,SP1,3,6,1156.4216028704996,681.9548402829288,399.8862462794875,0.6542037564095313,39,77.81539245749936
SP2_3,SP1,3,7,1041.1944398531864,654.5316548461149,505.02528842143937,0.5149558342890781,46,77.31098641373129
SP2_3,SP1,3,8,837.4643101792343,515.9298505854184,378.4068573953934,0.5481516611562747,27,60.79355837873138
SP2_3,SP1,3,9,1680.9971732607287,791.1781287414734,734.9433584072253,0.5627932217270699,57,120.7970265833977
SP2_3,SP1,3,10,560.1296352716598,487.1620596877674,238.35864118653038,0.5744580786715068,16,39.92441382290951
SP2_3,SP1,3,11,694.6324671501195,419.17960151672,325.559906369961,0.5313206310300449,26,51.009618676004024
SP2_3,SP1,3,12,419.71758206941183,302.28599562763094,267.84320922191216,0.3618489654369139,10,34.3780395645662
SP2_3,SP1,3,13,1001.2627598264696,783.583663944816,288.1302360996232,0.7122331443251126,38,64.46964979630464
SP2_3,SP1,3,14,590.42525542363,398.6272120276799,136.7817340039125,0.7683335312176447,14,36.36034947137713
SP2_3,SP1,3,15,402.0248298407456,235.3609703664851,187.17956805326457,0.5344079416004921,10,29.460219894700508
SP2_3,SP1,3,16,716.4505694145054,664.9468547243409,428.61070659072516,0.4017581604534244,32,57.25306380026152
SP2_3,SP1,3,17,954.3658336519252,414.5192285543438,215.88203962583054,0.7737952973444702,24,58.51239366388779
SP2_3,SP1,3,18,480.3029355223442,325.3143488581402,249.58944823978882,0.4803499421290178,12,36.494619188106654
SP2_3,SP1,3,19,537.684055395948,417.2118252087927,362.523938252835,0.32576773550431193,20,45.01039968243915
SP2_3,SP1,3,20,305.1763309179876,309.64225172988137,247.7532101398603,0.18816374325425334,10,27.646477052892397
SP2_4,SP1,4,0,534.4117735864123,480.26151617220484,234.43397859487308,0.5613233274753704,17,38.44228760906427
SP2_4,SP1,4,1,1832.8764666571662,802.3800832367998,551.9231408111108,0.6988759739941892,107,119.23998037341384
SP2_4,SP1,4,2,1016.8864403658991,517.4729183910936,370.98721212339814,0.6351734103270092,30,69.39368262446486
SP2_4,SP1,4,3,2172.7487625454182,857.1994080907888,615.5309768767845,0.7167040260302908,106,139.41398697111012
SP2_4,SP1,4,4,889.5667604877926,363.635523814831,395.1207384866948,0.5558278973125852,24,64.23437494872437
SP2_4,SP1,4,5,1174.127832844114,737.1004134164259,385.4985477134527,0.6716724219204891,49,77.98131902787834
SP2_4,SP1,4,6,1316.0464533480604,1199.6932017966874,602.6969942803,0.5420397260696829,88,95.93717238141802
SP2_4,SP1,4,7,658.279057966816,469.335486862183,379.9294687042743,0.4228443634866072,24,51.91042633355452
SP2_4,SP1,4,8,597.5315444951002,467.91489292496567,348.1470973278505,0.4173577938516594,19,47.283932091147534
SP2_4,SP1,4,9,730.2608885354247,437.22087617277117,318.71296676426135,0.5635628694240267,20,52.4486927649843
SP2_4,SP1,4,10,1464.8838848734613,615.6017014529444,426.00818468786963,0.7091863805132455,49,94.54460347806655
SP2_4,SP1,4,11,435.13487190745474,353.2061190522844,175.70242672499543,0.5962115700936879,10,30.541864931622506
SP2_4,SP1,4,12,1385.8257944570753,797.0657872483116,417.47843084935255,0.6987511471361321,62,90.16521126532139
SP2_4,SP1,4,13,708.3692070124225,455.72432251461265,314.4407104869759,0.5561061839303503,23,51.140495874969915
SP2_4,SP1,4,14,607.8080062925654,469.2948085624373,285.0808994191604,0.5309688314932495,14,44.644445285586286
SP2_4,SP1,4,15,539.0717207490817,221.19645788359787,108.56531996975625,0.7986069092645105,11,32.3818520359419
