Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster
949,27.0,33556.0,0.090516,10.0,0.0,0.0,0.0,0.00093166,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
950,27.0,905830.0,0.27153,30.0,0.0,0.0,0.0,30.232,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
951,27.0,4193500.0,0.45254,50.0,1.0,0.0,1.0,60.789,396.1200830109246,0.0,505.2604331049991,0.0,SP2,1,396.1200830109246,505.2604331049991
952,27.0,11507000.0,0.63355,70.0,1.0,0.0,1.0,91.282,144.35817920451134,0.0,0.0,0.0,SP2,1,144.35817920451134,0.0
953,27.0,24456000.0,0.81457,90.0,2.0,0.0,2.0,121.85,135.84638273685906,0.0,128.28245950315176,0.0,SP2,1,135.84638273685906,128.28245950315176
954,27.0,44650000.0,0.99558,110.0,4.0,0.0,4.0,152.3,148.81339915846024,0.0,164.51714054732219,0.0,SP2,1,148.81339915846024,164.51714054732219
955,27.0,73702000.0,1.1766,130.0,7.0,0.0,7.0,182.77,157.7692189729476,0.0,171.53341265038338,0.0,SP2,1,157.7692189729476,171.53341265038338
956,27.0,113220000.0,1.3576,150.0,7.0,0.0,7.0,213.25,102.701881087654,0.0,0.0,0.0,SP2,1,102.701881087654,0.0
957,27.0,164810000.0,1.5386,170.0,7.0,0.0,7.0,243.74,70.55340681235475,0.0,0.0,0.0,SP2,1,70.55340681235475,0.0
958,27.0,230090000.0,1.7196,190.0,9.0,0.0,9.0,274.23,64.97529711398501,0.0,50.89245000325711,0.0,SP2,1,64.97529711398501,50.89245000325711
959,27.0,310670000.0,1.9006,210.0,10.0,0.0,10.0,304.73,53.46926217872058,0.0,20.614663292458573,0.0,SP2,1,53.46926217872058,20.614663292458573
960,27.0,408160000.0,2.0817,230.0,10.0,0.0,10.0,335.22,40.69800000260467,0.0,0.0,0.0,SP2,1,40.69800000260467,0.0
961,27.0,524170000.0,2.2627,250.0,10.0,0.0,10.0,365.72,31.690664633731657,0.0,0.0,0.0,SP2,1,31.690664633731657,0.0
962,27.0,660300000.0,2.4437,270.0,10.0,0.0,10.0,396.22,25.15719473127839,0.0,0.0,0.0,SP2,1,25.15719473127839,0.0
963,27.0,818160000.0,2.6247,290.0,10.0,0.0,10.0,426.73,20.3032361409298,0.0,0.0,0.0,SP2,1,20.3032361409298,0.0
964,0.0,36586.0,0.062682,10.0,0.0,0.0,0.0,0.00048156,0.0,0.0,0.0,0.0,SP2,2,0.0,0.0
965,0.0,987620.0,0.18803,30.0,1.0,0.0,1.0,26.793000000000006,1681.9521355443514,0.0,1746.6563425769345,0.0,SP2,2,1681.9521355443514,1746.6563425769345
966,0.0,4572100.0,0.31339,50.0,2.0,0.0,2.0,54.909,726.6374611694023,0.0,463.422746983192,0.0,SP2,2,726.6374611694023,463.422746983192
967,0.0,12546000.0,0.43874,70.0,5.0,0.0,5.0,83.27600000000002,662.0156097984665,0.0,624.9625282884082,0.0,SP2,2,662.0156097984665,624.9625282884082
968,0.0,26664000.0,0.56409,90.0,6.0,0.0,6.0,111.75,373.791531977118,0.0,117.660402897458,0.0,SP2,2,373.791531977118,117.660402897458
969,0.0,48682000.0,0.6894399999999999,110.0,8.0,0.0,8.0,140.24,272.9763884978123,0.0,150.8883248347999,0.0,SP2,2,272.9763884978123,150.8883248347999
970,0.0,80356000.0,0.8148,130.0,11.0,0.0,11.0,168.78,227.39341491823185,0.0,157.33373442946697,0.0,SP2,2,227.39341491823185,157.33373442946697
971,0.0,123440000.0,0.94015,150.0,18.0,0.0,18.0,197.34,242.2256337160857,0.0,269.8892158746677,0.0,SP2,2,242.2256337160857,269.8892158746677
972,0.0,179700000.0,1.0655,170.0,21.0,0.0,21.0,225.92,194.12198625616332,0.0,88.5778297959285,0.0,SP2,2,194.12198625616332,88.5778297959285
973,0.0,250870000.0,1.1909,190.0,22.0,0.0,22.0,254.49,145.6724618262003,0.0,23.34030586070412,0.0,SP2,2,145.6724618262003,23.34030586070412
974,0.0,338720000.0,1.3162,210.0,24.0,0.0,24.0,283.04,117.69930808500088,0.0,37.81740621755976,0.0,SP2,2,117.69930808500088,37.81740621755976
975,0.0,445010000.0,1.4416,230.0,26.0,0.0,26.0,311.58,97.05258032575476,0.0,31.256554108689667,0.0,SP2,2,97.05258032575476,31.256554108689667
976,0.0,571490000.0,1.5669,250.0,26.0,0.0,26.0,340.14,75.57327122218082,0.0,0.0,0.0,SP2,2,75.57327122218082,0.0
