Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster,uniq
356,2.0,126490000.0,1.2009999999999998,2.0,7.0,1.0,6.0,185.91,91.92748024938084,13.13249717848298,37.62467877930492,37.62467877930492,LS,4,78.7949830708979,0.0,SP1-4-2
357,2.0,184130000.0,1.3611,4.0,8.0,1.0,7.0,212.88,72.17203358958615,9.021504198698269,28.819041778388485,0.0,LS,4,63.15052939088788,28.819041778388485,SP1-4-2
358,2.0,257060000.0,1.5213,6.0,10.0,1.0,9.0,239.87,64.6203053025096,6.462030530250963,45.55408112179658,0.0,LS,4,58.15827477225864,45.55408112179658,SP1-4-2
359,2.0,347090000.0,1.6814,8.0,11.0,1.0,10.0,266.88,52.6446317933949,4.785875617581354,18.4508449195414,0.0,LS,4,47.858756175813554,18.4508449195414,SP1-4-2
360,2.0,456000000.0,1.8415,10.0,13.0,1.0,12.0,293.89,47.356764003030825,3.6428280002331412,30.50462892491621,0.0,LS,4,43.7139360027977,30.50462892491621,SP1-4-2
361,2.0,585600000.0,2.0017,12.0,14.0,1.0,13.0,320.91,39.71279705172196,2.836628360837282,12.817357778598087,0.0,LS,4,36.876168690884654,12.817357778598087,SP1-4-2
362,2.0,737680000.0,2.1618,14.0,16.0,2.0,14.0,347.93,36.029271621436116,4.5036589526795145,21.845470385406518,10.922735192703264,LS,4,31.525612668756605,10.922735192703264,SP1-4-2
363,2.0,914060000.0,2.3219,16.0,17.0,3.0,14.0,374.96,30.894254926161647,5.451927339910878,9.417902075667945,9.417902075667945,LS,4,25.442327586250762,0.0,SP1-4-2
364,2.0,1116500000.0,2.4821,18.0,19.0,4.0,15.0,401.99,28.268214772969042,5.951203110098745,16.411080498975622,8.205540249487811,LS,4,22.317011662870296,8.205540249487811,SP1-4-2
371,3.0,71318000.0,1.1041,2.0,10.0,0.0,10.0,196.11,232.91869767889062,0.0,236.3671969131389,0.0,LS,4,232.91869767889062,236.3671969131389,SP1-4-3
372,3.0,109560000.0,1.274,4.0,10.0,0.0,10.0,228.79,151.6182519264615,0.0,0.0,0.0,LS,4,151.6182519264615,0.0,SP1-4-3
373,3.0,159490000.0,1.4439,6.0,11.0,0.0,11.0,261.48,114.56784280625394,0.0,33.269168197602895,0.0,LS,4,114.56784280625394,33.269168197602895,SP1-4-3
374,3.0,222660000.0,1.6138,8.0,13.0,0.0,13.0,294.16,96.98501924630405,0.0,52.59235612177654,0.0,LS,4,96.98501924630405,52.59235612177654,SP1-4-3
375,3.0,300630000.0,1.7836,10.0,13.0,0.0,13.0,326.85,71.83143527053873,0.0,0.0,0.0,LS,4,71.83143527053873,0.0,SP1-4-3
376,3.0,394960000.0,1.9535,12.0,13.0,0.0,13.0,359.53,54.675623823632925,0.0,0.0,0.0,LS,4,54.675623823632925,0.0,SP1-4-3
377,3.0,507210000.0,2.1234,14.0,13.0,0.0,13.0,392.22,42.57543105495171,0.0,0.0,0.0,LS,4,42.57543105495171,0.0,SP1-4-3
378,3.0,638950000.0,2.2932,16.0,13.0,0.0,13.0,424.9,33.797142789548566,0.0,0.0,0.0,LS,4,33.797142789548566,0.0,SP1-4-3
379,3.0,791700000.0,2.4631,18.0,13.0,0.0,13.0,457.59,27.276347587952586,0.0,0.0,0.0,LS,4,27.276347587952586,0.0,SP1-4-3
388,4.0,126610000.0,1.0955,2.0,10.0,0.0,10.0,165.79,131.20050297024818,0.0,37.5914722692596,0.0,LS,4,131.20050297024818,37.5914722692596,SP1-4-4
389,4.0,184310000.0,1.2415,4.0,12.0,0.0,12.0,190.85,108.15232389602163,0.0,57.57814794129332,0.0,LS,4,108.15232389602163,57.57814794129332,SP1-4-4
390,4.0,257320000.0,1.3876,6.0,12.0,0.0,12.0,215.86,77.46601436839634,0.0,0.0,0.0,LS,4,77.46601436839634,0.0,SP1-4-4
391,4.0,347420000.0,1.5337,8.0,14.0,2.0,12.0,240.88,66.93861595040116,9.56265942148588,36.87302037971836,36.87302037971836,LS,4,57.37595652891528,0.0,SP1-4-4
392,4.0,456440000.0,1.6797,10.0,15.0,2.0,13.0,265.91,54.58974568748288,7.2786327583310495,15.236925042251992,0.0,LS,4,47.31111292915183,15.236925042251992,SP1-4-4
393,4.0,586160000.0,1.8258,12.0,15.0,2.0,13.0,290.94,42.50877494471592,5.667836659295458,0.0,0.0,LS,4,36.84093828542047,0.0,SP1-4-4
394,4.0,738400000.0,1.9718,14.0,15.0,2.0,13.0,315.98,33.744506394359,4.4992675192478675,0.0,0.0,LS,4,29.245238875111127,0.0,SP1-4-4
395,4.0,914950000.0,2.1179,16.0,16.0,3.0,13.0,341.03,29.048661773540626,5.446624082538867,9.408833577492565,9.408833577492565,LS,4,23.60203769100176,0.0,SP1-4-4
396,4.0,1117600000.0,2.264,18.0,17.0,4.0,13.0,366.08,25.26771891357132,5.945345626722664,8.197037098970206,8.197037098970206,LS,4,19.322373286848656,0.0,SP1-4-4
405,5.0,117110000.0,1.2034,2.0,10.0,0.0,10.0,210.89,141.84352899891658,0.0,40.63925548883945,0.0,LS,4,141.84352899891658,40.63925548883945,SP1-4-5
406,5.0,170480000.0,1.3639,4.0,10.0,0.0,10.0,241.36,97.43838386358,0.0,0.0,0.0,LS,4,97.43838386358,0.0,SP1-4-5
407,5.0,238010000.0,1.5243,6.0,11.0,0.0,11.0,271.79,76.77167030448062,0.0,24.59839431521268,0.0,LS,4,76.77167030448062,24.59839431521268,SP1-4-5
408,5.0,321350000.0,1.6848,8.0,12.0,0.0,12.0,302.22,62.0306669278847,0.0,19.93196026045491,0.0,LS,4,62.0306669278847,19.93196026045491,SP1-4-5
409,5.0,422180000.0,1.8452,10.0,13.0,0.0,13.0,332.66,51.15042016528983,0.0,16.474556859132324,0.0,LS,4,51.15042016528983,16.474556859132324,SP1-4-5
410,5.0,542170000.0,2.0057,12.0,14.0,0.0,14.0,363.11,42.89395199566256,0.0,13.843900059224206,0.0,LS,4,42.89395199566256,13.843900059224206,SP1-4-5
