gr,r,sub_group_type,idd
0.11001510406916747,2136.0,LS,1
0.0996334830293755,2152.0,LS,1
0.10768284000869656,2168.0,LS,1
0.09915821457982078,2184.0,LS,1
0.10095035721034287,2200.0,LS,1
0.09190434484101981,2216.0,LS,1
0.10376943536791151,2232.0,LS,1
0.09619858338079441,2248.0,LS,1
0.09701122073319116,2264.0,LS,1
0.09915973166614558,2280.0,LS,1
0.09860251772904945,2296.0,LS,1
0.1001788266399809,2312.0,LS,1
0.0965874172871705,2328.0,LS,1
0.09972855373638963,2344.0,LS,1
0.09592857191626139,2360.0,LS,1
0.10536677534610914,2376.0,LS,1
0.09798416616125181,2392.0,LS,1
0.09797094505900868,2408.0,LS,1
0.10251997393795388,2424.0,LS,1
0.09618251609226897,2440.0,LS,1
0.10143436471483112,2456.0,LS,1
0.09978372685042641,2472.0,LS,1
0.10148786178404691,2488.0,LS,1
0.10341557004897627,2504.0,LS,1
0.09812689084570965,2520.0,LS,1
0.09799230865967092,2536.0,LS,1
0.09906309681658941,2552.0,LS,1
0.1059818400311315,2568.0,LS,1
0.09581539684736101,2584.0,LS,1
0.10255082639744222,2600.0,LS,1
0.10110164355840706,2616.0,LS,1
0.10830659728707369,2632.0,LS,1
0.10382403208478014,2648.0,LS,1
0.09766569437738916,2664.0,LS,1
0.10327206586811469,2680.0,LS,1
0.09217677659520952,2696.0,LS,1
0.09786264631457572,2712.0,LS,1
0.09503662248431262,2728.0,LS,1
0.10388594542978533,2744.0,LS,1
0.09315567508830912,2760.0,LS,1
0.0963810489870191,2776.0,LS,1
0.09813917655655932,2792.0,LS,1
0.10053363616773732,2808.0,LS,1
0.09583060105421769,2824.0,LS,1
0.09604784713827826,2840.0,LS,1
0.09432665030315941,2856.0,LS,1
0.09262463103349536,2872.0,LS,1
0.09466422084942817,2888.0,LS,1
0.09668133594601196,2904.0,LS,1
0.09573078320789281,2920.0,LS,1
0.09489521602772874,2936.0,LS,1
0.09417276473148026,2952.0,LS,1
0.0975979964197246,2968.0,LS,1
0.09583937645385006,2984.0,LS,1
0.09553302229979316,3000.0,LS,1
0.09665582108343275,3016.0,LS,1
0.09695626807211226,3032.0,LS,1
0.09342388686843375,3048.0,LS,1
0.09163272579202658,3064.0,LS,1
0.09514606667920175,3080.0,LS,1
0.09515044995744261,3096.0,LS,1
0.09624057930347546,3112.0,LS,1
0.09250759050824604,3128.0,LS,1
0.10092784599957105,3144.0,LS,1
0.09633404620543462,3160.0,LS,1
0.09294716187377024,3176.0,LS,1
0.09305866969930379,3192.0,LS,1
0.089147378953633,3208.0,LS,1
0.09556506649427976,3224.0,LS,1
0.09395543757067198,3240.0,LS,1
0.09188991388570542,3256.0,LS,1
0.10101648875108048,3272.0,LS,1
0.09370492662872838,3288.0,LS,1
0.09882948561128654,3304.0,LS,1
0.09816815242657616,3320.0,LS,1
0.0995389321338518,3336.0,LS,1
0.09429848122123821,3352.0,LS,1
0.09312086474188944,3368.0,LS,1
0.09331599883521331,3384.0,LS,1
0.10091776236415238,3400.0,LS,1
0.09882644979797978,3416.0,LS,1
0.09729166508092248,3432.0,LS,1
0.10218556233564476,3448.0,LS,1
0.10135886359361877,3464.0,LS,1
0.10133419851443173,3480.0,LS,1
0.1006946956085143,3496.0,LS,1
0.10119807662145738,3512.0,LS,1
0.09655980568325676,3528.0,LS,1
0.0,8.0,LS,2
0.0,24.0,LS,2
0.0,40.0,LS,2
0.23183315876000263,56.0,LS,2
1.0,72.0,LS,2
0.7545111788416651,88.0,LS,2
0.6357420190487453,104.0,LS,2
0.3620962407846552,120.0,LS,2
0.2943815406491848,136.0,LS,2
0.2460016609289023,152.0,LS,2
0.2184703661758904,168.0,LS,2
0.25566587067055335,184.0,LS,2
0.3064653917614514,200.0,LS,2
0.2649073112075933,216.0,LS,2
0.2441995303932597,232.0,LS,2
0.18584657730805015,248.0,LS,2
0.16129071589157976,264.0,LS,2
0.16192718431141093,280.0,LS,2
0.13856979464296876,296.0,LS,2
0.15821612835130194,312.0,LS,2
0.11513859103695834,328.0,LS,2
0.10918999529305928,344.0,LS,2
